"search_term_used","study_id","title","description","organism","relevance_score","url"
"vascular","PXD012942","N-glycoprotein capture mass spectrometry identifies candidate substrates of human Fut enzymes","How disseminated tumor cells (DTCs) engage specific stromal components in distant organs for survival and outgrowth is a critical but poorly understood step of the metastatic cascade. Previous studies have demonstrated the importance of the epithelial-mesenchymal transition (EMT) in promoting the cancer stem cell properties needed for metastasis initiation, while the reverse process of mesenchymal-epithelial transition (MET) is required for metastatic outgrowth. Here we report that this paradoxi...","Homo sapiens (Human)","20","https://osdr.nasa.gov/bio/repo/data/studies/PXD012942"
"vascular","GSE69637","RNA-seq identifies novel lncRNAs involved in vascular smooth muscle cell proliferation","Smooth muscle cell (SMC) phenotypic switching from a contractile to a synthetic state is implicated in diverse vascular pathologies, including neointimal formation. This study was designed to identify lncRNAs that may play a role in vascular pathologies. Primary smooth muscle cells cultured from surplus human saphenous vein tissue were treated with inflammatory and proliferative stimuli, IL1α and PDGF, for 72h and RNA extracted for RNA-sequencing. Using edgeR processed data we found expression o...","Homo sapiens","20","https://osdr.nasa.gov/bio/repo/data/studies/GSE69637"
"heart","PXD000774","Mitral Valve Tissue Shotgun Proteomics","In this study, we carried out a large-scale proteome profiling of human mitral valve tissues resected from patients with mitral valve prolapse.","Homo sapiens (Human)","19","https://osdr.nasa.gov/bio/repo/data/studies/PXD000774"
"astronaut health","OSD-640","Combined space stressors induce independent behavioral deficits predicted by early peripheral blood monocytes (flow cytometry)","Interplanetary space travel poses many hazards to the human body. To protect astronaut health and performance on critical missions, there is first a need to understand the effects of deep space hazards, including ionizing radiation, confinement, and altered gravity. Previous studies of rodents exposed to a single such stressor document significant deficits, but our study is the first to investigate possible cumulative and synergistic impacts of simultaneous ionizing radiation, confinement, and a...","M, u, s,  , m, u, s, c, u, l, u, s","19","https://osdr.nasa.gov/bio/repo/data/studies/OSD-640"
"astronaut health","OSD-618","Combined space stressors induce independent behavioral deficits predicted by early peripheral blood monocytes (Behavioral Assays)","Interplanetary space travel poses many hazards to the human body. To protect astronaut health and performance on critical missions, there is first a need to understand the effects of deep space hazards, including ionizing radiation, confinement, and altered gravity. Previous studies of rodents exposed to a single such stressor document significant deficits, but our study is the first to investigate possible cumulative and synergistic impacts of simultaneous ionizing radiation, confinement, and a...","M, u, s,  , m, u, s, c, u, l, u, s","19","https://osdr.nasa.gov/bio/repo/data/studies/OSD-618"
"human spaceflight","OSD-66","Microbial Observatory (ISS-MO): Antimicrobial resistance genes","The environmental samples were collected with the polyester wipes from eight different locations in the International Space Station (ISS) during two consecutive sampling sessions (three months apart) within the ISS Microbial Observatory Experiment. DNA extracted from each of the samples was used to create amplicon libraries based on customized panel of 500 antimicrobial resistance genes followed by next-generation sequencing. This is the first study of that shows the reservoir of antimicrobial g...","c, e, l, l, u, l, a, r,  , o, r, g, a, n, i, s, m, s","19","https://osdr.nasa.gov/bio/repo/data/studies/OSD-66"
"space medicine","GSE80324","Expression profiling of cell growth on different layers","Human embryonic stem cells (hESCs) and induced pluripotent stem cells (hiPSCs) hold great promise for applications in drug discovery and regenerative medicine. While tremendous ongoing efforts are focused on establishing more optimal cellular microenvironments for hESCs/hiPSCs to facilitate their differentiation into the specific phenotypical functions of interests, it is still challenging to systematically determine the optimal environment and the circumstances supporting each environment, due ...","Homo sapiens","19","https://osdr.nasa.gov/bio/repo/data/studies/GSE80324"
"vascular","PXD007707","Proteomic Profiling Exosomes from Vascular Smooth Muscle Cell","The components of the exosomes are essential to understand how vascular smooth muscle cells (VSMC) and endothelial cells communicate with each other. Exosomes secreted by human VSMCs were harvested and analyzed by nanoLC-MS/MS. The activity of the identified proteins were further assessed by the in vivo matrigel plug angiogenesis assay.","Homo sapiens (Human)","19","https://osdr.nasa.gov/bio/repo/data/studies/PXD007707"
"vascular","PXD001025","Basement Membranes from Human Retinal Blood Vessels, Inner Limiting Membranes, and Lens Capsules","Three types of BMs from adult human eyes, the inner limiting membrane, the retinal vascular BMs and the lens capsule, were isolated for analysis by 1D-SDS-PAGE and LC-MS/MS.","Homo sapiens (Human)","19","https://osdr.nasa.gov/bio/repo/data/studies/PXD001025"
"vascular","GSE37145","Vascular properties of breast cancer intrinsic subtypes","Interactions of cancer cells with the vasculature are essential for tumor growth and likely promote metastatic progression. Endothelial cell content and lympho-vascular invasion are generally associated with tumor aggressiveness, however, these features are generally not employed in the clinic. We aimed to determine if endothelial cell gene expression signatures could be utilized to better characterize breast tumor biology, and to establish if vascular cell-derived signatures could provide infor...","Homo sapiens","19","https://osdr.nasa.gov/bio/repo/data/studies/GSE37145"
"vascular","GSE116121","Pro-angiogenic Ginsenoside F1 and Rh1 Inhibit Vascular Leakage by Modulating NR4A1","Angiogenesis is an essential process in human physiology and disease pathology. Particularly, in ischemic disease condition, the proper induction of angiogenesis without vascular leakage will be crucial for its effective therapy. Ginsenosides, triterpenoid saponins from a well-known medicinal plant ginseng, have been considered as a strong candidate for modulating angiogenesis. However, the biologic activity of individual gensenoside compounds and their target pathway have not been elucidated sy...","Homo sapiens","19","https://osdr.nasa.gov/bio/repo/data/studies/GSE116121"
"vascular","GSE47553","Effect of progerin on p53-deficient vascular smooth muscle cells","Analysis of p53-deficient (E6-expressing) human vascular smooth muscle cells (VSMCs) that express progerin, a mutated form of lamin A resposible for Hutchinson- Gilford progeria syndrome (HGPS). p53 pathway is associated with HGPS. Results provide insight into molecular mechanisms underlying vascular dysfunction of HGPS caused by other than p53 pathway.","Homo sapiens","19","https://osdr.nasa.gov/bio/repo/data/studies/GSE47553"
"vascular","PXD005972","Angiogenic and Immunologic Proteins Identified by Deep Proteomic Profiling of Human Choroidal and Retinal Vascular Endothelial Cells","PURPOSE Diseases that involve choroidal or retinal endothelial vascular cells are leading causes of vision loss: age-related macular degeneration, retinal ischemic vasculopathies and non-infectious posterior uveitis. Proteins differentially expressed by these endothelial cell populations are potential drug targets. We used deep proteomics to define the molecular phenotype of human choroidal and retinal endothelial cells at the protein level.  METHODS Choroidal and retinal endothelial cells were ...","Homo sapiens (Human)","19","https://osdr.nasa.gov/bio/repo/data/studies/PXD005972"
"vascular","GSE11367","Effect of IL-17 on human vascular smooth muscle cells","Keywords: Dose response Investigate the effect of recombinant human IL-17A on vascular smooth muscle cells cultured from human aortas.","Homo sapiens","19","https://osdr.nasa.gov/bio/repo/data/studies/GSE11367"
"vascular","GSE59326","Expression profiling in primary and stem-cell derived Human Endothelial and Vascular Smooth Muscle Cells","Whole transcriptome gene expression profiling of Normal Human Endothelial and Vascular Smooth Muscle Cells","Homo sapiens","19","https://osdr.nasa.gov/bio/repo/data/studies/GSE59326"
"vascular","GSE31981","Gene expression profiling of human vascular cells following gene transfer","For further understanding of the gene expression profile of human vascular cells following gene transfer in vitro, we have employed whole genome microarray expression profiling as a discovery platform to identify gene families or single genes with the potential to distinguish between responders and non-responders to a particular gene therapy. Human vascular cells from deseased donors were derived and transduced in vitro. Total RNA was isolated from the cells and subjected to microarray analysis ...","Homo sapiens","19","https://osdr.nasa.gov/bio/repo/data/studies/GSE31981"
